Регион,№,Филиал,Адрес
Пахтаабадский р-н,6027,MADANIYAT,"Пахтаабадский р-н, ул.Майбогча, дом 2Посмотреть на карте ..."
Асакинский р-н,6008,ASAKA,Умид к 41 уй.Посмотреть на карте ...
Асакинский р-н,6022,ASAKA 2,"Асака р-н, ул.Хумо, 2Посмотреть на карте ..."
Шахриханский р-н,6009,SHAXRIXON,"Шахриханский р-н, ул.Хамза дом 1. Ор-р: ресторан ""Акшамнур""Посмотреть на карте ..."
Шахриханский р-н,6025,YANGI SHAHRIXON,"Шахриханский район, улица Чинобода, 7Посмотреть на карте ..."
Мархаматский р-н,6012,MARHAMAT,"Мархаматский раён, улица Бобуршох 45Посмотреть на карте ..."
Мархаматский р-н,6031,POLVONTOSH,"Мархаматский р-н, г.Полвонташ, ул.БабураПосмотреть на карте ..."
Ходжаабадский р-н,6013,XO'JAOBOD,"Хожабадаский раён, улица Узун-кучаПосмотреть на карте ..."
Андижанский р-н,6014,ANDIJON TUMANI,"Андижанский р-н, улица Найман, 17-домПосмотреть на карте ..."
Андижанский р-н,6032,KAMOLOT,"Андижанский р-н, ул.Сайфиобод, дом 15Посмотреть на карте ..."
Андижанский р-н,6033,KUYGANYOR,"Андижанский р-н, ул.Водия, дом 187Посмотреть на карте ..."
Андижанский р-н,6035,ANDIJON TELVIZYONNIY,"Андижанский район, улица Тельвизённый, дом 30Посмотреть на карте ..."
Булакбашинский р-н,6015,BULOQBOSHI,"Булакбашинский р-н, ул. М.Исмаилий 63Посмотреть на карте ..."
Кургантепинский р-н,6016,QO'RG'ONTEPA,"Кургантепинский р-н, ул. Мустақиллик, 285 домПосмотреть на карте ..."
Кургантепинский р-н,6030,QORASUV,"г.Карасув, ул.Ўқитувчилар, 2Посмотреть на карте ..."
Балыкчинский р-н,6018,BALIQCHI,"Балыкчинский р-н, ул.Бобуршоx, дом 67Посмотреть на карте ..."
Балыкчинский р-н,6024,CHINOBOD,"Баликчинский р-н, ул.Намуна, дом 134Посмотреть на карте ..."
Джалакудукский р-н,6019,JALAQUDUQ,"Джалакудукский р-н, ул.Дильхуш, дом 19Посмотреть на карте ..."
Джалакудукский р-н,6029,OYIM,"Джалакудукский р-н, ул.Кучкора Турдиева, дом 4Посмотреть на карте ..."
Алтынкульский р-н,6020,OLTINKO'L,"Алтынкольский р-н, ул.Марказ, дом 53Посмотреть на карте ..."
г.Ханабад,6021,XONOBOD,"Ханабадский р-н, ул.Обод, дом 26Посмотреть на карте ..."
Бозский р-н,6023,BO'Z,"Бозский р-н, ул.Акамла Икромова, дом 2Посмотреть на карте ..."
Улугнорский р-н,6026,ULUG'NOR,"Улугнарский район, ул.Шахриобод, дом 20Посмотреть на карте ..."
г.Карши,7001,QARSHI,Шохбекат дом-1А.Посмотреть на карте ...
г.Карши,7005,QARSHI (YANGIBOZOR),"ул. Карлибогот, 1-202Посмотреть на карте ..."
г.Карши,7028,QARSHI PEDINSTITUT,"Г.Карши, ул.Амира Темура, дом 110Посмотреть на карте ..."
г.Карши,7029,QARSHI ESKI SHAHAR,"г.Карши, ул.Ислама Каримова, дом 347.Посмотреть на карте ..."
г.Шахрисабз,7003,SHAHRISABZ,"г. Шахрисабз, ул Ипак юли дом 360 Ор-р: МечетПосмотреть на карте ..."
г.Шахрисабз,7017,SHAHRISABZ TOJMAHAL,"г. Шахрисабз, ул.Ипак Йули, 278Посмотреть на карте ..."
Чиракчинский р-н,7006,CHIROQCHI,"Чиракчинский р-н, ул. МустақилликПосмотреть на карте ..."
Чиракчинский р-н,7022,JAR,"Район Чиракчи, ул,.Джар, дом 45Посмотреть на карте ..."
Китабский р-н,7007,KITOB,"Китабский район, улица Г. Джораева, 21Посмотреть на карте ..."
Китабский р-н,7024,ESKI RADDOM,"Китабский р-н, ул.Генерала Жораева, дом 87Посмотреть на карте ..."
Мубарекский р-н,7008,MUBORAK,"Муборакский район, улица Бегзод 4Посмотреть на карте ..."
Мубарекский р-н,7021,2-MIKRARAYON,"Мубаракский р-н, 2-й малый районный дачный кварталПосмотреть на карте ..."
Каршинский р-н,7009,BESHKENT,"Каршинский р-н, ул. Мустақиллик, 41 домПосмотреть на карте ..."
Каршинский р-н,7027,YERQO'RG'ON,"Каршинский р-н, ул.Узуннаво, дом 346Посмотреть на карте ..."
Гузарский р-н,7011,G'UZOR,"Гузарский р-н, ул. Ўзбекистан, 57Посмотреть на карте ..."
Гузарский р-н,7020,G'UZOR YANGI BOZOR,"Гузорский р-н, ул.Чорвадорлар, дом 1Посмотреть на карте ..."
Касанский р-н,7012,KOSON,"Косонский р-н, ул. Мустакиллик, 15 домПосмотреть на карте ..."
Нишанский р-н,7013,NISHON,"Нишанский р-н, ул. Узбекистан, 10 домПосмотреть на карте ..."
Яккабагский р-н,7014,YAKKABOG`,"Яккабогский р-н, ул, Амир Темур, 25Посмотреть на карте ..."
Яккабагский р-н,7023,ECO BOZOR,"Яккабахский р-н, ул.Айгиркуль, дом 212Посмотреть на карте ..."
Шахрисабзский р-н,7015,CHORSHANBE SHAHRISABZ,"Шахрисабзский р-н, ул, Зилол, 1 домПосмотреть на карте ..."
Камашинский р-н,7016,QAMASHI,"Камашинский р-н, ул.Амира ТемураПосмотреть на карте ..."
Камашинский р-н,7026,CHIM,"Камашинский р-н, ул.Орта Чима, дом 721Посмотреть на карте ..."
Кўкдалинский р-н,7018,KO'KDALA,"Кокдалинский р-н, ул.Еркива Вохидова, дом 38Посмотреть на карте ..."
Дехканабадский р-н,7019,DEHQONOBOD,"Дехканабадский р-н, ул.Гулистан, дом 40Посмотреть на карте ..."
Касбинский р-н,7025,KASBI,"Касбийский р-н Мугланский ҚФЙ, 3-й микрорайон, дом 5, квартира 1Посмотреть на карте ..."
Миришкорский р-н,7030,JEYNOV,"Миришкорский р-н, село ДжейновПосмотреть на карте ..."
г.Термез,7501,TERMIZ,Алишера Навоий дом-21/31.Посмотреть на карте ...
г.Термез,7508,TERMIZ SENTR,"Город Термез, Центр Карпов бозориПосмотреть на карте ..."
г.Термез,7515,TERMIZ VOZKAL,"г.Термез, улица Ибн Сина, дом 29Посмотреть на карте ..."
Денаусский р-н,7502,DENOV,"ул.Ш.Рашидов, 176-домПосмотреть на карте ..."
Джаркурганский р-н,7503,JARQO'RG'ON,Tuman hokimligi yoniПосмотреть на карте ...
Джаркурганский р-н,7514,SURXON,"Жаркурганский р-н, ул.Мукими, дом 1.Посмотреть на карте ..."
Ангорский р-н,7504,ANGOR,"сурхандаринский област, Ангорский р-н, улица Ат ТермизийПосмотреть на карте ..."
Кумкурганский р-н,7505,QUMQO'RG'ON,"Кумкурганский р-н, улица А.Навоий, дом 19АПосмотреть на карте ..."
Шерабадский р-н,7506,SHEROBOD,"Шерабадский р-н, улица МустақилликПосмотреть на карте ..."
Шурчинский р-н,7507,SHO'RCHI,"Шўрчинский р-н, улица Амир Темур, 53-Б домПосмотреть на карте ..."
Сарыассийский р-н,7509,SARIOSIYO,"Сариосийский p-н, ул.Мирзо УлугбекПосмотреть на карте ..."
Кизирикский р-н,7510,QIZIRIQ,"Кызырыкский р-н, ул.БархаётаПосмотреть на карте ..."
Байсунский р-н,7511,BOYSUN,"ул.Истиклол, Байсунский р-н, 9Посмотреть на карте ..."
Узунский р-н,7512,UZUN,"Узунский р-н, ул.ЁшликПосмотреть на карте ..."
Алтынсайский р-н,7513,OLTINSOY,"Олтинсойский р-н, ул.Олтиндала, дом 10Посмотреть на карте ..."
г.Бухара,8001,BUXORO,"Бухарский город, улица Бахоуддина Накшбандий дом-309/1.Посмотреть на карте ..."
г.Бухара,8003,BUXORO  5-MKR,"Город Бухара, ул. А.Сомий 6А-17Посмотреть на карте ..."
г.Бухара,8005,BUXORO GORGAZ,"г.Бухара, ул.Mустакиллиги, 33 домПосмотреть на карте ..."
г.Бухара,8008,BUXORO VOKZAL,"Buxoro shahar O.Eshonov ko'chasi 10-uy,9-xonadonПосмотреть на карте ..."
г.Бухара,8018,BUXORO RAYMAG,Возле плов центр Мо СалахПосмотреть на карте ...
г.Бухара,8020,CHINAR MALL,"г.Бухара, ул.Алпомиш, дом 203Посмотреть на карте ..."
г.Бухара,8025,FAYZOBOD,г. Ашхабад у 1-7-7-квПосмотреть на карте ...
г.Бухара,8026,DILKUSHO,"ул.Дилькушо, длм 268Посмотреть на карте ..."
г.Бухара,8029,BUXORO KRITIY,"г. Бухара, улица И. Муминова, 24Посмотреть на карте ..."
г.Каган,8007,KOGON,"Каганcкий город, ул: Бухорошох 19-дом, 1-квПосмотреть на карте ..."
г.Каган,8013,KOGON VOKZAL,"г. Каган, ул. Маҳмуд Торобий, 49 дом 3Посмотреть на карте ..."
Вабкентский р-н,8009,VOBKENT,"Вабкентский рн, Улица Ал-БухорийПосмотреть на карте ..."
Гиждуванский р-н,8010,G'IJDUVON,"Ғиждуванский рн, улица Юсуф Хамадоний 74Посмотреть на карте ..."
Гиждуванский р-н,8023,G'IJDUVON 2,"Гиждуванский р-н, ул.Улугбека, дом 130Посмотреть на карте ..."
Бухарский р-н,8011,GALAOSIYO BUXORO,"Бухарский р-н,город Галаосиё, ул. Буюк ипак йўли, 21Посмотреть на карте ..."
Бухарский р-н,8024,MADANIYAT CHORAXXA,"Бухарский р-н, ул.М. КаримовПосмотреть на карте ..."
Джандарский р-н,8012,JONDOR,"Жондорский р-н,улица Махмуд Торобий 209-домПосмотреть на карте ..."
Джандарский р-н,8027,JONDOR 2,"Джондорский р-н, ул.Навгеди, дом 1Посмотреть на карте ..."
Пешкунский р-н,8014,PESHKU,"Пешкуский р-н, ул. Янги базар, 2 домПосмотреть на карте ..."
Каракульский р-н,8015,QORAKO'L,"Каракольский р-н, ул Улугбек, 48 домПосмотреть на карте ..."
Шафирканский р-н,8017,SHOFIRKON,"Шафирконский р-н, ул НавоиПосмотреть на карте ..."
Рамитанский р-н,8019,ROMITAN,"Ромитанский р-н, ул.Нурафшон, дом 6Посмотреть на карте ..."
Караулбазарский р-н,8021,QOROVULBOZOR,"Коровулбазарский р-н, ул.Навои, дом 12Посмотреть на карте ..."
Алатский р-н,8022,OLOT,"Олотский р-н, ул.Олот, дом 13Посмотреть на карте ..."
Каганский р-н,8028,YANGI HAYOT,"Каганский р-н, ул.Амира Темура, дом 63Посмотреть на карте ..."
Карманинский р-н,8507,KARMANA,"Карманинский рн, Талқоқ МСГ, Улица: Кулоллар 8Посмотреть на карте ..."
г.Навойи,8508,NAVOIY,"г.Навои ул. И.Каримова, 120А-92Посмотреть на карте ..."
г.Навойи,8509,NAVOI (VOSXOD),г.Навои ул.Энергетическая дом-1. кв-7Посмотреть на карте ...
г.Навойи,8517,NAVOIY (YANGIBOZOR),"г. Навои, Центральный дехканский базарПосмотреть на карте ..."
г.Навойи,8522,NAVOIY (SHODLIK),"г.Навои, ул.Шодлик, дом 1Посмотреть на карте ..."
Кызылтепинский р-н,8511,QIZILTEPA,"Қизилтепа тумани, Торговый центр ""Созлаб ол""Посмотреть на карте ..."
Кызылтепинский р-н,8518,QIZILTEPA (VANG'OZI),"Кызылтепинский район, ул. ВангозиПосмотреть на карте ..."
Навбахорский р-н,8512,NAVBAHOR,"Навоий, Навбаҳорский раён, Марказий БешработПосмотреть на карте ..."
г.Заравшан,8513,ZARAFSHON,3-микрораёнПосмотреть на карте ...
г.Заравшан,8520,13-MIKRARAYON,"город Зарафшан, 13-й микрорайон, дом 77Посмотреть на карте ..."
Нуратинский р-н,8514,NUROTA,"Нуратинский р-н, ул,У.Юсупова, 69 домПосмотреть на карте ..."
Нуратинский р-н,8519,G'OZG'ON,"Нуратинский р-н, ул.Мустакилликский, дом 65Посмотреть на карте ..."
Хатырчинский р-н,8515,XATIRCHI,"Хатырчинский р-н, ул. Навбахор, 106 домПосмотреть на карте ..."
г.Учкудук,8516,UCHQUDUQ,"Учкудукский р-н, ул. А.Темур, 37-БПосмотреть на карте ..."
Канимехский р-н,8521,KONIMEX,"Канимеxcкий р-н, ул. Ибн СиноПосмотреть на карте ..."
г.Ургенч,9001,URGANCH,Аль-Хоразмий дом-62.Посмотреть на карте ...
г.Ургенч,9003,URGANCH 4-MKR,"Ургенчский город, улица Зарбулоқ 1-дом,26-квПосмотреть на карте ..."
г.Ургенч,9016,URGANCH YANGI TUNEL,"г. Ургенч, ул.Йогду, дом 12АПосмотреть на карте ..."
г.Хива,9002,XIVA,"город Хива, Янги Хаёт, ул. А.ТемурПосмотреть на карте ..."
г.Хива,9013,XIVA (STADION),"г.Хива, ул.Феруз, дом 98Посмотреть на карте ..."
Тупраккалинский р-н,9004,TUPROQQAL'A,"Тупроққалъинский р-н, ул. Огаҳий, дом 3, 18 кв.Посмотреть на карте ..."
Ханкинский р-н,9005,XONQA,"Хонқайский р-н, улица Мустақиллик, дом 5Посмотреть на карте ..."
Гурленский р-н,9006,GURLAN,"Гурланский р-н, ул. МустакилликПосмотреть на карте ..."
Хазараспский р-н,9007,XAZORASP,"Харозаспский р-н, ул. Офтоб, 107 домПосмотреть на карте ..."
Хазараспский р-н,9014,XAZORASP MARKAZ,"Хазораспский р-н, ул.НавоиПосмотреть на карте ..."
Багатский р-н,9008,BOG'OT,"Боготский р-н, ул.Узбекистан, 62 домПосмотреть на карте ..."
Кушкупырский р-н,9009,QO'SHKO'PIR,"Кошкопирский р-н, ул Шарофа Рашидова, 27 домПосмотреть на карте ..."
Шаватский р-н,9010,SHOVOT,"Шаватский р-н, ул Марифат, 2 домПосмотреть на карте ..."
Янгибазарский р-н,9011,YANGIBOZOR XORAZM,"Янгибазарский р-н, ул.ШаршараПосмотреть на карте ..."
Янгиарыкский р-н,9012,YANGIARIQ,"Янгиарикский р-н, ул.Аль-Хорезмий, 18а домПосмотреть на карте ..."
Ургенчский р-н,9015,URGANCH TUMAN,ул. Мустақиллик дом 28Посмотреть на карте ...
г.Нукус,9501,NUKUS,ул. Татибаева дом-б/н. 22Посмотреть на карте ...
г.Нукус,9504,NUKUS 26-MKR,"Город Нукус, улица Пиржан Сейтов 1А-дом,44-квПосмотреть на карте ..."
Кунградский р-н,9502,QO'NG'IROT,Беруний. б/н.Посмотреть на карте ...
Кунградский р-н,9514,QO'NG'IROT 2,"Кунгиратский р-н, ул.Нурмухаммедова, дом 61Посмотреть на карте ..."
Берунийский р-н,9503,BERUNIY,35-maktab ro'parasiПосмотреть на карте ...
Берунийский р-н,9515,BERUNIY BOZOR,"Берунийский р-н, ул.КурувчиларПосмотреть на карте ..."
Амударьинский р-н,9505,AMUDARYO,"Амударинский р-н, ул. Тадбиркорлар, 11Посмотреть на карте ..."
Турткульский р-н,9506,TO'RTKO'L,"Торткольский р-н, ул К. Атаниязова, дом 42Посмотреть на карте ..."
Элликкалинский р-н,9507,ELLIK QAL'A,"Эллик Калинский р-н, ул Халклар ДустлигиПосмотреть на карте ..."
Тахиаташский р-н,9509,TAXIATOSH,"Тахиаташский район, улица Камолот, дом 35-АПосмотреть на карте ..."
Ходжейлийский р-н,9510,XO'JAYLI,"Ходжалинский р-н, ул.Тандирчи, дом 32Посмотреть на карте ..."
Чимбайский р-н,9511,CHIMBOY,"Чимбойский р-н, ул.Олтина Босага, дом 63Посмотреть на карте ..."
Кегейлийский р-н,9512,KEGEYLI,"Кегейлинский р-н, ул.Дустлик Гузари, 106-домПосмотреть на карте ..."
Кандикульский р-н,9513,QANLIKO'L,"Канлыкульский район, ул.Дустлик, дом 63Посмотреть на карте ..."
